Prices,Type,Bedroom,Parking,Metraj,Location
6400000000.0,0,1,1,65,3
8900000000.0,0,2,1,105,3
10200000000.0,0,2,1,100,3
5800000000.0,0,1,1,58,3
8000000000.0,0,2,1,75,2
5000000000.0,0,2,0,89,3
6200000000.0,0,1,1,66,3
7800000000.0,0,1,1,60,2
15600000000.0,0,3,2,120,2
12300000000.0,0,2,1,95,2
33600000000.0,0,3,1,118,2
19500000000.0,0,3,2,150,2
15000000000.0,0,3,1,115,2
22500000000.0,0,3,1,150,2
15800000000.0,0,3,1,120,2
18000000000.0,0,3,2,135,2
15000000000.0,0,3,1,120,2
6800000000.0,0,2,1,65,3
5800000000.0,0,1,1,58,3
10000000000.0,0,2,0,88,2
14400000000.0,0,2,1,107,2
10900000000.0,0,2,1,109,2
10500000000.0,0,3,1,112,2
13000000000.0,0,3,2,100,2
8400000000.0,0,1,1,65,2
19300000000.0,0,3,1,154,2
17300000000.0,0,3,1,132,2
11900000000.0,0,2,1,100,3
9000000000.0,0,2,1,75,3
11200000000.0,0,2,1,102,3
7500000000.0,0,1,1,60,3
6800000000.0,0,1,1,65,2
27400000000.0,0,3,2,183,2
25500000000.0,0,3,3,150,2
27000000000.0,0,3,1,138,2
55400000000.0,0,3,2,220,2
34000000000.0,0,3,2,170,2
25700000000.0,0,2,1,130,2
29000000000.0,0,3,1,138,2
30000000000.0,0,2,1,140,2
16000000000.0,0,3,1,120,2
13000000000.0,0,3,1,88,2
8400000000.0,0,1,1,65,2
11700000000.0,0,2,1,90,2
7800000000.0,0,1,1,56,2
22000000000.0,0,2,1,137,2
7600000000.0,0,1,2,66,2
22100000000.0,0,3,1,165,2
31900000000.0,0,3,1,145,2
30000000000.0,0,3,2,150,2
14400000000.0,0,2,1,96,2
12300000000.0,0,2,1,82,2
6500000000.0,0,1,1,50,2
7800000000.0,0,1,1,60,2
13000000000.0,0,2,3,100,2
0,0,2,1,130,2
30600000000.0,0,3,2,141,2
35100000000.0,0,3,1,135,2
16800000000.0,0,2,1,120,2
8800000000.0,0,2,1,88,3
19500000000.0,0,3,2,150,2
11700000000.0,0,2,1,90,2
18200000000.0,0,3,2,140,2
19500000000.0,0,3,3,150,2
23400000000.0,0,3,3,180,2
20800000000.0,0,3,2,160,2
22100000000.0,0,3,2,170,2
24700000000.0,0,3,3,190,2
26000000000.0,0,3,3,200,2
0,0,3,3,315,2
6100000000.0,0,1,1,51,2
13000000000.0,0,2,1,100,2
17000000000.0,0,2,1,117,2
9500000000.0,0,2,1,70,2
15300000000.0,0,3,1,126,2
33300000000.0,0,3,2,185,2
15000000000.0,0,3,1,140,2
15900000000.0,0,3,1,133,2
10000000000.0,0,2,1,100,2
15200000000.0,0,1,1,95,2
12800000000.0,0,2,1,85,2
25900000000.0,0,3,1,148,2
24800000000.0,0,2,1,138,2
9100000000.0,0,2,0,83,2
12200000000.0,0,2,1,88,2
18300000000.0,0,3,1,126,2
21600000000.0,0,3,1,127,2
13900000000.0,0,1,1,96,2
34100000000.0,0,3,2,155,2
27300000000.0,0,4,2,210,2
26000000000.0,0,2,2,118,2
11300000000.0,0,2,0,90,2
15000000000.0,0,2,1,125,2
24600000000.0,0,3,2,145,2
19700000000.0,0,2,1,105,2
24700000000.0,0,2,1,130,2
18500000000.0,0,3,1,135,2
16700000000.0,0,3,1,135,2
14500000000.0,0,2,1,120,2
15300000000.0,0,2,1,100,2
